Specification of reservoir parameters		
"Subasin-ID, runoff_volume[m**3],runoff_peak_discharge[m**3/s]"		
250	7854	"3,32"
251	42662	"11,17"
252	55142	"13,86"
253	53244	"12,2"
254	36587	"7,93"
255	102781	"15,24"
256	11994	"3,82"
257	18543	"5,17"
258	5456	"2,2"
259	75376	"20,34"
260	31696	"11,14"
261	198725	"27,67"
262	141863	"24,58"
263	33937	"7,53"
264	27201	"6,71"
265	72018	"13,8"
266	43692	"13,4"
267	8829	"3,6"
268	116851	"18,4"
269	38998	"8,41"
270	7773	"3,06"
271	22059	"5,93"
272	57449	"13,28"
273	364511	"37,19"
274	174563	"34,87"
275	16598	"4,54"
276	88967	"18,7"
277	136315	"22,08"
278	26411	"8,38"
279	58283	"12,19"
280	172859	"34,99"
281	55499	"11,49"
282	4004	"1,74"
283	48803	"10,5"
284	32867	"8,3"
285	270441	"34,85"
286	171617	"24,81"
287	138501	"25,43"
288	10531	"3,7"
289	6954	"2,71"
290	39885	"10,64"
291	150217	"26,48"
292	258475	"29,63"
293	14120	"3,6"
294	61391	"13,07"
295	22418	"6,99"
296	25958	"7,69"
297	60836	"11,04"
298	7867	"3,06"
299	24824	"7,15"
300	456811	"66,22"
301	15862	"6,07"
302	35251	"7,15"
303	6034380	"284,17"
304	9481	"4,11"
305	87699	"24,43"
306	8916	"4,28"
307	164014	"23,15"
308	90753	"24,61"
309	19134	"6,9"
310	26805	"9,09"
311	24048	"6,14"
312	132974	"31,35"
313	32744	"9,49"
314	517671	"70,16"
315	43152	"10,09"
316	66953	"12,63"
317	14594	"4,9"
318	61467	"19,21"
319	155642	"36,93"
320	169148	"36,89"
321	9113	"3,57"
322	1480041	"168,78"
323	1136292	"163,15"
324	65840	"16,56"
325	4082826	"229,86"
326	104784	"19,04"
327	52124	"13,86"
328	58261	"13,99"
329	177573	"37,87"
330	298661	"39,87"
331	287339	"54,96"
332	14581	"4,63"
333	92894	"19,97"
334	30398	"7,31"
335	274192	"42,15"
336	13174	"4,61"
337	1609535	"97,43"
338	67574	"11,68"
339	6277	"2,16"
340	7500	"2,45"
341	58592	"16,54"
342	259689	"34,49"
343	214894	"37,23"
344	450330	"75,01"
345	7667	"3,22"
346	20302	"6,23"
347	25441	"5,75"
348	7954	"2,85"
349	221641	"29,89"
350	23246	"7,13"
351	59037	"12,24"
352	529781	"66,92"
353	43222	12
354	624326	"85,93"
