Specification of reservoir parameters			
"Subasin-ID, water_storage_capacity[m**3], dam_height [m], spillway_discharge[m**3/s]"			
162	60479	"7,15"	"48,02"
163	2010000	"13,08"	"201,23"
164	15033	"5,62"	"38,9"
165	37242	"6,58"	"40,16"
166	48328	"6,88"	"33,12"
167	55828	"7,05"	"40,07"
168	9413	"5,19"	"16,91"
169	37149	"6,57"	"53,97"
170	60589	"7,15"	"33,69"
171	2840315	"13,89"	"827,49"
172	9591	"5,2"	"19,98"
173	11449	"5,37"	"19,49"
174	27212	"6,23"	"26,34"
175	45542	"6,81"	"45,84"
176	25935	"6,18"	"34,03"
177	41226	"6,69"	"31,73"
178	77121	"7,46"	"57,72"
179	121071	"8,06"	"63,58"
180	614859	"10,67"	264
181	825897	"11,22"	"127,55"
182	8762	"5,12"	"25,31"
183	9676	"5,21"	"19,17"
184	101823	"7,82"	"45,94"
185	17020	"5,75"	"28,72"
186	7942	"5,04"	"16,55"
187	30789	"6,36"	"28,98"
188	23705	"6,08"	"64,55"
189	28327	"6,27"	"27,63"
190	59008	"7,12"	"58,59"
191	68632	"7,31"	"58,14"
192	16122	"5,69"	"29,31"
193	43022	"6,74"	"33,09"
194	180542	"8,63"	"122,74"
195	36046	"6,54"	"41,9"
196	117035	"8,01"	"87,26"
197	11404	"5,36"	"20,25"
198	28315	"6,27"	"24,81"
199	13950	"5,55"	"30,16"
200	35940	"6,54"	"32,78"
201	14056	"5,56"	"26,13"
202	10279	"5,27"	"17,68"
203	155769	"8,42"	"64,54"
204	19141	"5,86"	"38,52"
205	615802	"10,67"	"142,31"
206	2009220	"13,08"	"340,13"
207	16132	"5,69"	"31,19"
208	7783	"5,02"	"22,38"
209	2883551	"13,92"	"334,95"
210	14085	"5,56"	"51,06"
211	32027	"6,41"	"21,75"
212	13101	"5,49"	"20,2"
213	53052	"6,99"	"38,68"
214	518474	"10,36"	"112,34"
215	86005	"7,6"	"57,04"
216	11251	"5,35"	"16,16"
217	8030	"5,05"	"41,06"
